0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:09 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:10 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:13 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7069
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:13 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:13 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:15 +0530] "POST /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7069
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:15 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:15 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:18 +0530] "POST /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7069
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:18 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:18 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:41:11 +0530] "GET /ORSproject04/ctl/CollegeCtl HTTP/1.1" 200 5287
0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:02 +0530] "GET /ORSproject04/ctl/CollegeCtl HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:06 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:08 +0530] "GET /ORSproject04/ctl/CollegeCtl?id=2 HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:50 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6136
